"SNDB_record_number","SNDB_study_number","notes","latitude","longitude","elevation_m","MAT","MAP","climate_type","biome_name","treatment","treatment_level","lyr_top","lyr_btm","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","SOC","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"2679","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2560,90,1360,60,25934.7,21884.7,4050,,,"1910","210","76.64",,"5.83","6.22",,"4.71","69.16","26.13"
"2680","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2630,100,1450,60,26886.3,22386.3,4500,,,"2450","330","76.79",,"5.53","6.02",,"4.86","67.944","27.196"
"2681","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1570,60,900,40,16059.8,13359.8,2700,,,"780","110","34.28",,"2.98","6.61",,"3.32","51.3","45.38"
"2682","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2140,90,1440,50,22154.7,18104.7,4050,,,"910","130","37.05",,"3","6.77",,"3.75","56.61","39.64"
"2683","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1060,30,720,30,10504.9,9154.9,1350,,,"310","50","32.59",,"2.47","6.91",,"2.77","48.41","48.82"
"2684","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1250,40,690,40,12536.5,10736.5,1800,,,"750","100","26.64",,"2.43","6.58",,"2.55","44.34","53.11"
"2685","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1290,50,710,30,13218.1,10968.1,2250,,,"1150","200","29.13",,"2.54","6.51",,"3.13","51.46","45.42"
"2686","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1250,60,610,30,13179.8,10479.8,2700,,,"1340","220","28.74",,"2.41","6.52",,"2.76","48.88","48.36"
"2687","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1590,70,620,30,16561.4,13411.4,3150,,,"640","160","40.04",,"3.1","7.04",,"5","63.66","31.34"
"2688","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1340,40,570,20,13346.5,11546.5,1800,,,"560","130","31.87",,"2.5","6.83",,"3.79","57.08","39.13"
"2689","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1670,70,700,30,17281.4,14131.4,3150,,,"690","120","36.94",,"2.92","6.77",,"5.83","69.23","24.94"
"2690","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2510,80,1360,50,25163,21563,3600,,,"1350","160","55.25",,"4.27","6.24",,"4.63","57.43","37.94"
"2691","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2560,90,1360,60,25934.7,21884.7,4050,,,"1910","210","76.64",,"5.83","6.22",,"4.71","69.16","26.13"
"2692","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","active restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2630,100,1450,60,26886.3,22386.3,4500,,,"2450","330","76.79",,"5.53","6.02",,"4.86","67.94","27.2"
"2693","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","FYM","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,10130.143071,5804.342324,4325.800747,,,"727.94",,"28.39333",,,"7.3",,"25","50","25"
"2694","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","FYM","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,9726.333239,5615.008863,4111.324376,,,"773.47",,"28.59813",,,"7.34",,"25","50","25"
"2695","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","FYM","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,8783.947634,5161.262891,3622.684743,,,"715.36",,"28.28571",,,"7.29",,"25","50","25"
"2696","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","FYM","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,8566.936685,5087.85799,3479.078695,,,"726.82",,"29.18564",,,"7.27",,"25","50","25"
"2697","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,4506.682016,3477.089166,1029.59285,,,"421.24",,"14.28087",,,"6.32",,"25","50","25"
"2698","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,5432.231125,4194.408775,1237.82235,,,"397.52",,"13.46331",,,"6.36",,"25","50","25"
"2699","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,4388.966125,3359.69212,1029.274005,,,"390.6",,"13.41696",,,"6.38",,"25","50","25"
"2700","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,4181.604606,3184.681529,996.923077,,,"411.29",,"14.55253",,,"6.22",,"25","50","25"
"2701","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NIL","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,3558.776695,2806.454714,752.321981,,,"330.71",,"12.03404",,,"7.59",,"25","50","25"
"2702","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NIL","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,3548.631163,2772.341285,776.289878,,,"324.06",,"10.34483",,,"7.62",,"25","50","25"
"2703","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NIL","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,3547.020411,2778.536033,768.484378,,,"371.43",,"10.93168",,,"7.65",,"25","50","25"
"2704","188",,51.759,-0.373,,9.61,674.78,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NIL","0","23",,"Chromic Luvisols","cropland",,"Triticum aestivum","2022","bulk soil",,,,,,3464.953494,2691.650847,773.302647,,,"365.69",,"10.88048",,,"7.6",,"25","50","25"
"2705","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,3920,2900,1020,,,,,"8.79",,"0.8","4.72",,"36.3","42.5","21.2"
"2706","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,4380,3400,980,,,,,"8.41",,"0.76","4.74",,"36.3","42.5","21.2"
"2707","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,3880,2980,900,,,,,"8.34",,"0.74","4.68",,"36.3","42.5","21.2"
"2708","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,32.8,62.5 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,4860,3540,1320,,,,,"10.33",,"0.96","4.95",,"36.3","42.5","21.2"
"2709","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,32.8,62.5 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,5110,3870,1240,,,,,"10.23",,"0.95","4.9",,"36.3","42.5","21.2"
"2710","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,32.8,62.5 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,4700,3530,1170,,,,,"10.15",,"0.95","4.85",,"36.3","42.5","21.2"
"2711","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 84,32.8,62.5 ; manure t/ha: 7.2","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,5560,4040,1520,,,,,"10.9",,"1.05","4.96",,"36.3","42.5","21.2"
"2712","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 84,32.8,62.5 ; manure t/ha: 7.2","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,6180,4770,1410,,,,,"10.73",,"1.04","4.99",,"36.3","42.5","21.2"
"2713","189",,28.25,116.917,,19.68,1752.22,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 84,32.8,62.5 ; manure t/ha: 7.2","0","20",,"Cambisols","cropland",,"Peanut","2017_to_2020","bulk soil",,,,,,5480,4210,1270,,,,,"10.71",,"1.03","5.07",,"36.3","42.5","21.2"
"2714","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,4630,3160,1470,,,,,"7.73",,"0.75","4.97",,"34","52.7","13.3"
"2715","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,5190,3840,1350,,,,,"7.69",,"0.71","4.92",,"34","52.7","13.3"
"2716","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,4560,3370,1190,,,,,"7.68",,"0.71","4.86",,"34","52.7","13.3"
"2717","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,5440,3720,1720,,,,,"9.26",,"0.89","4.67",,"34","52.7","13.3"
"2718","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,6010,4430,1580,,,,,"9.17",,"0.89","4.72",,"34","52.7","13.3"
"2719","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,5320,3930,1390,,,,,"8.99",,"0.87","4.73",,"34","52.7","13.3"
"2720","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,100 ; manure t/ha: 15","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,7670,5380,2290,,,,,"15.65",,"1.64","5.9",,"34","52.7","13.3"
"2721","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,100 ; manure t/ha: 15","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,8590,6380,2210,,,,,"15.27",,"1.63","5.85",,"34","52.7","13.3"
"2722","189",,28.583,116.283,,17.95,1601.27,"temperate","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,100 ; manure t/ha: 15","0","20",,"Cambisols","cropland",,"Maize","2017_to_2020","bulk soil",,,,,,7740,5750,1990,,,,,"14.59",,"1.6","5.94",,"34","52.7","13.3"
"2723","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,3490,2240,1250,,,,,"8.37",,"0.82","5.42",,"46.4","33.7","19.9"
"2724","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,3690,2530,1160,,,,,"8.34",,"0.82","5.34",,"46.4","33.7","19.9"
"2725","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","Control","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,3870,2860,1010,,,,,"8.07",,"0.8","5.4",,"46.4","33.7","19.9"
"2726","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPK: NPK kg/ha: 300,52.4,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,5030,3440,1590,,,,,"12.06",,"1.16","4.21",,"46.4","33.7","19.9"
"2727","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPK: NPK kg/ha: 300,52.4,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,4880,3440,1440,,,,,"11.82",,"1.15","4.23",,"46.4","33.7","19.9"
"2728","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPK: NPK kg/ha: 300,52.4,100 ; manure t/ha: 0","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,4700,3420,1280,,,,,"11.64",,"1.14","4.17",,"46.4","33.7","19.9"
"2729","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPKM: NPK kg/ha: 90,52.4,100 ; manure t/ha: 42","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,9430,7140,2290,,,,,"18.37",,"1.96","6.08",,"46.4","33.7","19.9"
"2730","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPKM: NPK kg/ha: 90,52.4,100 ; manure t/ha: 42","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,9410,7280,2130,,,,,"18.29",,"1.95","6.1",,"46.4","33.7","19.9"
"2731","189",,26.75,111.867,,17.74,1433.99,"temperate","Tropical & Subtropical Moist Broadleaf Forests","amendment","NPKM: NPK kg/ha: 90,52.4,100 ; manure t/ha: 42","0","20",,"Cambisols","cropland",,"Maize-wheat rotation","2017_to_2020","bulk soil",,,,,,8970,7120,1850,,,,,"18.04",,"1.95","6.16",,"46.4","33.7","19.9"
"2732","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6120,4970,1150,,,,,"9",,"0.89","6.04",,"23","29","48"
"2733","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6460,5480,980,,,,,"9",,"0.84","6.01",,"23","29","48"
"2734","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6000,5160,840,,,,,"8.97",,"0.72","6.02",,"23","29","48"
"2735","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,50 ; manure t/ha: 0","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6180,4970,1210,,,,,"9.67",,"1.03","5.32",,"23","29","48"
"2736","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,50 ; manure t/ha: 0","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6570,5490,1080,,,,,"9.54",,"1","5.28",,"23","29","48"
"2737","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 120,26.2,50 ; manure t/ha: 0","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6260,5330,930,,,,,"9.47",,"0.96","5.23",,"23","29","48"
"2738","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,50 ; manure t/ha: 27","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,7180,5600,1580,,,,,"12.43",,"1.36","5.54",,"23","29","48"
"2739","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,50 ; manure t/ha: 27","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,7490,6080,1410,,,,,"12.27",,"1.33","5.58",,"23","29","48"
"2740","189",,40.8,123.55,,6.3,922.42,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 120,26.2,50 ; manure t/ha: 27","0","20",,"Alisols","cropland",,"Maize-maize-soybean rotation","2017_to_2020","bulk soil",,,,,,6900,5710,1190,,,,,"12.04",,"1.31","5.6",,"23","29","48"
"2741","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,4850,3440,1410,,,,,"15.14",,"1.34","7.58",,"30.3","29.7","40"
"2742","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,4760,3530,1230,,,,,"14.73",,"1.22","7.6",,"30.3","29.7","40"
"2743","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","Control","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,4670,3620,1050,,,,,"14.31",,"1.2","7.63",,"30.3","29.7","40"
"2744","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 165,36,68.8 ; manure t/ha: 0","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,5270,3570,1700,,,,,"14.12",,"1.21","6.61",,"30.3","29.7","40"
"2745","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 165,36,68.8 ; manure t/ha: 0","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,5110,3640,1470,,,,,"14.12",,"1.19","6.54",,"30.3","29.7","40"
"2746","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPK: NPK kg/ha: 165,36,68.8 ; manure t/ha: 0","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,4960,3720,1240,,,,,"14.07",,"1.18","6.48",,"30.3","29.7","40"
"2747","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 50,36,68.8 ; manure t/ha: 34.5","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,10400,6400,4000,,,,,"28.71",,"2.87","7.08",,"30.3","29.7","40"
"2748","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 50,36,68.8 ; manure t/ha: 34.5","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,10870,7120,3750,,,,,"28.1",,"2.82","7.12",,"30.3","29.7","40"
"2749","189",,43.5,124.8,,5.62,637.32,"cold/snow","Temperate Broadleaf & Mixed Forests","amendment","NPKM: NPK kg/ha: 50,36,68.8 ; manure t/ha: 34.5","0","20",,"Phaeozem","cropland",,"Maize under monoculture","2017_to_2020","bulk soil",,,,,,9870,6610,3260,,,,,"28.02",,"2.78","7.13",,"30.3","29.7","40"
"2750","189",,44.583,87.767,,6.67,262.86,"arid","Deserts & Xeric Shrublands","amendment","Control","0","20",,"Calcisol","cropland",,"Maize-wheat-cotton rotation","2017_to_2020","bulk soil",,,,,,2610,2000,610,,,,,"7.95",,"0.88","8.37",,"28.3","53.2","18.5"
"2751","189",,44.583,87.767,,6.67,262.86,"arid","Deserts & Xeric Shrublands","amendment","Control","0","20",,"Calcisol","cropland",,"Maize-wheat-cotton rotation","2017_to_2020","bulk soil",,,,,,2880,2340,540,,,,,"7.74",,"0.87","8.33",,"28.3","53.2","18.5"
