"SNDB_record_number","SNDB_study_number","notes","latitude","longitude","elevation_m","MAT","MAP","climate_type","biome_name","treatment","treatment_level","lyr_top","lyr_btm","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","SOC","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"2669","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1570,60,900,40,16059.8,13359.8,2700,,,"780","110","34.28",,"2.98","6.61",,"3.316","51.304","45.38"
"2670","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2140,90,1440,50,22154.7,18104.7,4050,,,"910","130","37.05",,"3","6.77",,"3.748","56.61","39.642"
"2671","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,1060,30,720,30,10504.9,9154.9,1350,,,"310","50","32.59",,"2.47","6.91",,"2.774","48.408","48.818"
"2672","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2730,90,1400,50,27464.7,23414.7,4050,,,"1110","160","61.54",,"4.8","6.51",,"3.892","64.72","31.388"
"2673","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,3810,120,1780,60,38149.6,32749.6,5400,,,"1830","270","77.28",,"5.68","6.13",,"5.696","73.272","21.032"
"2674","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2870,120,1380,60,29689.6,24289.6,5400,,,"1680","230","67.04",,"5.25","6.26",,"3.194","55.878","40.928"
"2675","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,3430,120,1750,60,34729.6,29329.6,5400,,,"1490","210","57.25",,"4.58","6.19",,"3.372","50.834","45.794"
"2676","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,3190,120,1440,60,32569.6,27169.6,5400,,,"1870","240","65.59",,"5.03","6.32",,"3.372","50.834","45.794"
"2677","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2380,70,1360,50,23671.4,20521.4,3150,,,"1330","200","58.73",,"4.62","6.44",,"3.322","54.756","41.922"
"2678","226",,33.75,99.65,"4000",-2.1,567.12,"cold/snow","Montane Grasslands & Shrublands","restoration","natural restoration","0","20",,,"grassland",,"Elymus nutans, Poa crymophila, Kobresia humilis","2021","bulk soil",,2510,80,1360,50,25163,21563,3600,,,"1350","160","55.25",,"4.27","6.24",,"4.63","57.428","37.942"
