SNDB_record_number,SNDB_study_number,notes,Latitude,Longitude,lat_lon_notes,elevation_m,MAT,MAP,ClimateTypes,biome_name,treatment,treatment_level,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,plant_species,year_sampled,fraction_scheme,aggregate_size,gluN,murA,galN,manN,microbial_necromass_C,fungal_necromass_C,bacterial_necromass_C,bacterial_biomass_C,fungal_biomass_C,microbial_biomass_C,microbial_biomass_N,soc,soil_C,soil_N,pH,pH_method,clay,silt,sand
1,166,,52.1,-102.92,,512,0.11,466.98,snow,Boreal Forests/Taigas,,,0,10,,Argic Cryoborolls,grassland,,,,bulk soil,,1576,151,952,50,19040.60068,12245.60068,6795,,,,,,34.8,3.25,,,23.4,19.4,57.2
2,166,,51.6,-104.41,,580,1.66,410.73,snow,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Typic Cryoborolls,grassland,,,,bulk soil,,1278,118,822,46,15297.22438,9987.224376,5310,,,,,,26.4,2.5,,,18.8,19,62.2
3,166,,50.57,-106.27,,244,2.97,371.69,snow,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Typic Cryoborolls,grassland,,,,bulk soil,,1534,68,782,53,15993.07845,12933.07845,3060,,,,,,22.7,2.4,,,16.9,25,58.1
4,166,,47.42,-94.74,,233,4.41,647.61,snow,Temperate Broadleaf & Mixed Forests,,,0,10,,Typic Haoloborolls,grassland,,,,bulk soil,,1161,44,555,36,11864.16841,9884.168411,1980,,,,,,16,1.68,,,26.8,17.2,56
5,166,,47.28,-100.98,,197,5.08,420.65,snow,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Aridic Argiborolls,grassland,,,,bulk soil,,781,70,434,17,9280.404291,6130.404291,3150,,,,,,11.3,1.31,,,25.1,20.7,54.2
6,166,,48.65,-108.73,,688,3.83,335.79,arid,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Pachic Udic Haploborolls,grassland,,,,bulk soil,,1849,124,996,62,20629.20189,15049.20189,5580,,,,,,32.7,2.94,,,40.3,24.8,34.9
7,166,,45.01,-106.78,,33,6.73,348.22,arid,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Ustic Haplargids,grassland,,,,bulk soil,,883,84,451,30,10648.68515,6868.685149,3780,,,,,,14.1,1.43,,,38.2,32.8,29
8,166,,41.71,-104.37,,252,8.75,411.21,arid,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Aridic Paleustolls,grassland,,,,bulk soil,,576,19,264,13,5795.09545,4940.09545,855,,,,,,7.7,0.88,,,25.6,14.5,59.9
9,166,,41.29,-99.91,,154,9.44,578.96,snow,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Typic Argiudolls,grassland,,,,bulk soil,,1494,56,709,35,15247.12343,12727.12343,2520,,,,,,19.7,2.06,,,36.3,23.7,40
10,166,,41.52,-100.05,,28,9.28,559.23,snow,"Temperate Grasslands, Savannas & Shrublands",,,0,10,,Typic Argiustolls,grassland,,,,bulk soil,,862,38,396,21,8980.190901,7270.190901,1710,,,,,,14,1.41,,,21.5,21.7,56.8
