"SNDB_record_number","SNDB_study_number","notes","Latitude","Longitude","lat_lon_notes","elevation_m","MAT","MAP","ClimateTypes","biome_name","treatment","treatment_level","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","soc","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"1","164",,"52.1","-102.92",,"512","0.11","466.98","snow","Boreal Forests/Taigas",,,"0","10",,"Argic Cryoborolls","grassland",,,,"bulk soil",,"1576","151","952","50","19040.6006846316","12245.6006846316","6795",,,,,,"34.8","3.25",,,"23.40","19.4","57.2"
"2","164",,"51.6","-104.41",,"580","1.66","410.73","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Typic Cryoborolls","grassland",,,,"bulk soil",,"1278","118","822","46","15297.2243760697","9987.22437606974","5310",,,,,,"26.4","2.5",,,"18.80","19","62.2"
"3","164",,"50.57","-106.27",,"244","2.97","371.69","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Typic Cryoborolls","grassland",,,,"bulk soil",,"1534","68","782","53","15993.0784540063","12933.0784540063","3060",,,,,,"22.7","2.4",,,"16.90","25","58.1"
"4","164",,"47.42","-94.74",,"233","4.41","647.61","snow","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Typic Haoloborolls","grassland",,,,"bulk soil",,"1161","44","555","36","11864.1684114158","9884.16841141583","1980",,,,,,"16","1.68",,,"26.80","17.2","56"
"5","164",,"47.28","-100.98",,"197","5.08","420.65","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Aridic Argiborolls","grassland",,,,"bulk soil",,"781","70","434","17","9280.40429088883","6130.40429088883","3150",,,,,,"11.3","1.31",,,"25.10","20.7","54.2"
"6","164",,"48.65","-108.73",,"688","3.83","335.79","arid","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Pachic Udic Haploborolls","grassland",,,,"bulk soil",,"1849","124","996","62","20629.2018867174","15049.2018867174","5580",,,,,,"32.7","2.94",,,"40.30","24.8","34.9"
"7","164",,"45.01","-106.78",,"33","6.73","348.22","arid","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Ustic Haplargids","grassland",,,,"bulk soil",,"883","84","451","30","10648.6851490666","6868.68514906659","3780",,,,,,"14.1","1.43",,,"38.20","32.8","29"
"8","164",,"41.71","-104.37",,"252","8.75","411.21","arid","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Aridic Paleustolls","grassland",,,,"bulk soil",,"576","19","264","13","5795.09545038411","4940.09545038411","855",,,,,,"7.7","0.88",,,"25.60","14.5","59.9"
"9","164",,"41.29","-99.91",,"154","9.44","578.96","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Typic Argiudolls","grassland",,,,"bulk soil",,"1494","56","709","35","15247.1234327111","12727.1234327111","2520",,,,,,"19.7","2.06",,,"36.30","23.7","40"
"10","164",,"41.52","-100.05",,"28","9.28","559.23","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Typic Argiustolls","grassland",,,,"bulk soil",,"862","38","396","21","8980.19090076822","7270.19090076822","1710",,,,,,"14","1.41",,,"21.50","21.7","56.8"
"11","164",,"40.14","-96.98",,"422","11.22","765.49","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Entic Argiudolls","grassland",,,,"bulk soil",,"901","52","546","45","9781.47175894599","7441.47175894599","2340",,,,,,"15.6","1.4",,,"25.90","30.2","43.9"
"12","164",,"41.44","-96.43",,"357","9.9","750.48","snow","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Pachic Argiudolls","grassland",,,,"bulk soil",,"886","60","396","47","9903.77510647614","7203.77510647614","2700",,,,,,"15","1.57",,,"32.20","15.9","51.9"
"13","164",,"38.37","-95.42",,"309","13.65","1029.41","temperate","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Mollic Albaqualfs","grassland",,,,"bulk soil",,"804","30","313","37","8200.88755323807","6850.88755323807","1350",,,,,,"10.1","1.54",,,"15.50","46.7","37.8"
"14","164",,"33.3","-103.36",,"1244","14.77","411.84","arid","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Aridic Paleustalfs","grassland",,,,"bulk soil",,"160","12","70","4","1825.95502129523","1285.95502129523","540",,,,,,"4.26","0.47",,,"11.30","2","86.7"
"15","164",,"32.82","-98.47",,"337","18.73","757.98","temperate","Temperate Grasslands, Savannas & Shrublands",,,"0","10",,"Udertic Paleustolls","grassland",,,,"bulk soil",,"423","28","201","14","4707.56171635553","3447.56171635553","1260",,,,,,"12.9","0.99",,,"27.30","13.4","59.3"
