"SNDB_record_number","SNDB_study_number","notes","Latitude","Longitude","lat_lon_notes","elevation_m","MAT","MAP","ClimateTypes","biome_name","treatment","treatment_level","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","soc","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"1","1",NA,42.24,128.06,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"litter",NA,"forest",NA,NA,NA,"bulk soil",NA,907,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,"451.5",NA,"11.92",NA,NA,NA,NA,NA
"2","1",NA,42.24,128.06,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"O horizon",NA,"forest",NA,NA,NA,"bulk soil",NA,4215,206,1739,NA,44560.5611989014,35290.5611989014,9270,NA,NA,NA,NA,"432.3",NA,"16.91",NA,NA,NA,NA,NA
"3","1",NA,42.24,128.06,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"O horizon",NA,"forest",NA,NA,NA,"bulk soil",NA,9575,544,3454,NA,103671.62763205,79191.6276320503,24480,NA,NA,NA,NA,"324.9",NA,"25.23",NA,NA,NA,NA,NA
"4","1",NA,42.24,128.06,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","13",NA,NA,"forest",NA,NA,NA,"bulk soil",NA,3570,203,1965,NA,38659.0724435776,29524.0724435776,9135,NA,NA,NA,NA,"58.67",NA,"5.61",NA,NA,NA,NA,NA
"5","1",NA,42.05,128.04,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"litter",NA,"forest",NA,NA,NA,"bulk soil",NA,2436,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,"461.6",NA,"17.52","4.08",NA,"24.36","43.7","31.94"
"6","1",NA,42.05,128.04,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"O horizon",NA,"forest",NA,NA,NA,"bulk soil",NA,3752,201,2129,NA,40232.7466066951,31187.7466066951,9045,NA,NA,NA,NA,"415.5",NA,"17.81",NA,NA,NA,NA,NA
"7","1",NA,42.05,128.04,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"O horizon",NA,"forest",NA,NA,NA,"bulk soil",NA,2858,224,1239,NA,32926.4937308442,22846.4937308442,10080,NA,NA,NA,NA,"132",NA,"13.56",NA,NA,NA,NA,NA
"8","1",NA,42.05,128.04,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","10",NA,NA,"forest",NA,NA,NA,"bulk soil",NA,2744,186,1123,NA,30678.302830076,22308.302830076,8370,NA,NA,NA,NA,"46.38",NA,"3.94",NA,NA,NA,NA,NA
"9","1",NA,42.01,128.06,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"litter",NA,"forest",NA,NA,NA,"bulk soil",NA,833,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,"425",NA,"9.85","3.79",NA,"14.25","23.44","62.31"
"10","1",NA,42.01,128.06,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,NA,NA,"O horizon",NA,"forest",NA,NA,NA,"bulk soil",NA,1288,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,"140.2",NA,"6.51",NA,NA,NA,NA,NA
"11","1",NA,42.01,128.06,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","4",NA,NA,"forest",NA,NA,NA,"bulk soil",NA,1684,NA,795,NA,NA,NA,NA,NA,NA,NA,NA,"94.28",NA,"4.92",NA,NA,NA,NA,NA
"12","1",NA,42.01,128.06,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"4","12",NA,NA,"forest",NA,NA,NA,"bulk soil",NA,405,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,"26.08",NA,"1.81","3.65",NA,NA,NA,NA
"13","1",NA,42.4,128.1,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"0","13",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,3869.6,203.2,NA,NA,41361.9050272658,32217.9050272658,9144,NA,NA,NA,NA,NA,"58.67","5.61",NA,NA,NA,NA,NA
"14","1",NA,42.4,128.1,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"13","37",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,NA,31.1,NA,NA,NA,NA,1399.5,NA,NA,NA,NA,NA,"6.76","1.05","4.08",NA,NA,NA,NA
"15","1",NA,42.4,128.1,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"37","72",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,501.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33","0.74","3.75",NA,NA,NA,NA
"16","1",NA,42.4,128.1,NA,"600",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"72","110",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,364.2,25.9,NA,NA,4110.81958762887,2945.31958762887,1165.5,NA,NA,NA,NA,NA,"1.83","0.71","3.35",NA,NA,NA,NA
"17","1",NA,42.08,128.07,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"0","10",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,2743.6,185.8,NA,NA,30668.2702463878,22307.2702463878,8361,NA,NA,NA,NA,NA,"46.38","3.94","3.32",NA,NA,NA,NA
"18","1",NA,42.08,128.07,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"10","40",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,207.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.31","0.66","3.79",NA,NA,NA,NA
"19","1",NA,42.08,128.07,NA,"1680",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"40","65",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.42","0.59","4.42",NA,NA,NA,NA
"20","1",NA,42.02,128.08,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"0","4",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,1684.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.28","4.92","4.56",NA,NA,NA,NA
"21","1",NA,42.02,128.08,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"4","12",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.08","1.81","3.65",NA,NA,NA,NA
