"SNDB_record_number","SNDB_study_number","notes","Latitude","Longitude","lat_lon_notes","elevation_m","MAT","MAP","ClimateTypes","biome_name","treatment","treatment_level","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","soc","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"22","1",NA,42.02,128.08,NA,"2580",1.76,764.26,"snow","Temperate Broadleaf & Mixed Forests","Different elevation",NA,"12","22",NA,"Alfisols","forest",NA,NA,NA,"bulk soil",NA,368.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.05","1.59","4.52",NA,NA,NA,NA
"23","2",NA,26.19,117.36,NA,"315",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"0","10",NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,1442,98,376,NA,16129.9660072444,11719.9660072444,4410,NA,NA,NA,NA,NA,"51.8","2.75","4.08",NA,"46.3","37.3","16.4"
"24","2",NA,26.19,117.36,NA,"315",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"0","10",NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,898,58,322,NA,9947.4492695936,7337.4492695936,2610,NA,NA,NA,NA,NA,"30","1.91","4.44",NA,"50","34.9","15.2"
"25","2",NA,26.19,117.36,NA,"301",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"0","10",NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,581,52,235,NA,6901.47175894599,4561.47175894599,2340,NA,NA,NA,NA,NA,"18.6","1.13","4.47",NA,"50","39","11.1"
"26","2",NA,26.19,117.36,NA,"303",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"0","10",NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,712,61,276,NA,8369.93802491741,5624.93802491741,2745,NA,NA,NA,NA,NA,"20.9","1.29","4.52",NA,"50.3","37.5","12.3"
"27","2",NA,26.19,117.36,NA,"315",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"44124",NA,NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,671,85,212,NA,8772.84806750786,4947.84806750786,3825,NA,NA,NA,NA,NA,"27","1.47","4.1",NA,"43.1","40.6","16.3"
"28","2",NA,26.19,117.36,NA,"315",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"44124",NA,NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,298,42,98,NA,4032.8425745333,2142.8425745333,1890,NA,NA,NA,NA,NA,"12.7","1.06","4.28",NA,"45.8","36.6","17.5"
"29","2",NA,26.19,117.36,NA,"301",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"44124",NA,NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,262,35,113,NA,3483.70214544441,1908.70214544441,1575,NA,NA,NA,NA,NA,"10.7","0.75","4.39",NA,"45.8","40.8","13.3"
"30","2",NA,26.19,117.36,NA,"303",17.34,1634.58,"temperate","Tropical & Subtropical Moist Broadleaf Forests",NA,NA,"44124",NA,NA,"Ultisols","forest",NA,NA,NA,"bulk soil",NA,309,44,103,NA,4196.16841141583,2216.16841141583,1980,NA,NA,NA,NA,NA,"11.7","0.86","4.35",NA,"42.4","41.1","16.6"
"31","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2014 No-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,148.6275,7.36735647,67.47081712,NA,1574.60318527236,1243.07214412236,331.53104115,NA,NA,NA,NA,"8.63",NA,"0.95","8.22",NA,"20",NA,NA
"32","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2015 No-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,149.2157,7.563066419,67.78210117,NA,1586.1915884002,1245.8535995452,340.337988855,NA,NA,NA,NA,"8.63",NA,"0.95","8.22",NA,"20",NA,NA
"33","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2016 No-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,151.9608,7.758687409,68.56031128,NA,1617.18923034697,1268.04829694197,349.140933405,NA,NA,NA,NA,"8.63",NA,"0.96","8.22",NA,"20",NA,NA
"34","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2017 No-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,153.1373,7.797784919,70.42801556,NA,1629.03522037235,1278.13489901735,350.900321355,NA,NA,NA,NA,"8.63",NA,"98","8.22",NA,"20",NA,NA
"35","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2018 No-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,153.7255,7.854273927,71.05058366,NA,1636.14587172949,1282.70354501449,353.442326715,NA,NA,NA,NA,"8.63",NA,"1.01","8.22",NA,"20",NA,NA
"36","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2014 Low-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,150,7.489052475,67.93774319,NA,1590.86978395581,1253.86242258081,337.007361375,NA,NA,NA,NA,"8.63",NA,"0.96","8.22",NA,"20",NA,NA
"37","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2015 Low-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,154.5098039,7.94559041,70.42801556,NA,1646.14161142456,1288.59004297456,357.55156845,NA,NA,NA,NA,"8.63",NA,"0.98","8.22",NA,"20",NA,NA
"38","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2016 Low-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,159.8039216,8.193385893,76.0311284,NA,1701.7584966344,1333.0561314494,368.702365185,NA,NA,NA,NA,"8.63",NA,"0.99","8.22",NA,"20",NA,NA
"39","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2017 Low-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,163.5294118,8.354223888,79.45525292,NA,1740.46092774984,1364.52085278984,375.94007496,NA,NA,NA,NA,"8.63",NA,"1.06","8.22",NA,"20",NA,NA
"40","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2018 Low-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,166.6666667,8.567280855,81.47859922,NA,1775.54875570281,1390.02111722781,385.527638475,NA,NA,NA,NA,"8.63",NA,"1.11","8.22",NA,"20",NA,NA
"41","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2014 Medium-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,152.5490196,7.367489909,67.62645914,NA,1609.90115346004,1278.36410755504,331.537045905,NA,NA,NA,NA,"8.63",NA,"0.98","8.22",NA,"20",NA,NA
"42","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2015 Medium-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,157.4509804,8.154243904,71.82879377,NA,1679.32310523457,1312.38212955457,366.94097568,NA,NA,NA,NA,"8.63",NA,"1","8.22",NA,"20",NA,NA
"43","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2016 Medium-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,165.6862745,8.489130314,78.98832685,NA,1764.21167642649,1382.20081229649,382.01086413,NA,NA,NA,NA,"8.63",NA,"1.08","8.22",NA,"20",NA,NA
"44","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2017 Medium-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,172.5490196,9.049972756,86.92607004,NA,1844.01471204693,1436.76593802693,407.24877402,NA,NA,NA,NA,"8.63",NA,"1.14","8.22",NA,"20",NA,NA
"45","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2018 Medium-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,177.8431373,9.315204217,87.54863813,NA,1900.19238919514,1481.00819943014,419.184189765,NA,NA,NA,NA,"8.63",NA,"1.23","8.22",NA,"20",NA,NA
"46","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2014 High-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,156.0784314,7.541315927,69.02723735,NA,1647.25661169994,1307.89739498494,339.359216715,NA,NA,NA,NA,"8.63",NA,"0.99","8.22",NA,"20",NA,NA
"47","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2015 High-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,159.8039216,8.241245872,72.45136187,NA,1703.29781323558,1332.44174899558,370.85606424,NA,NA,NA,NA,"8.63",NA,"1.03","8.22",NA,"20",NA,NA
"48","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2016 High-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,168.8235294,8.767349798,81.01167315,NA,1801.39532109915,1406.86458018915,394.53074091,NA,NA,NA,NA,"8.63",NA,"1.11","8.22",NA,"20",NA,NA
"49","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2017 High-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,177.0588235,9.536979172,88.94941634,NA,1900.26649478512,1471.10243204512,429.16406274,NA,NA,NA,NA,"8.63",NA,"1.19","8.22",NA,"20",NA,NA
"50","3",NA,35.45,104.5,NA,"2088",5.96,482.69,"snow","Montane Grasslands & Shrublands","nitrogen","2018 High-N","0","20",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,181.1764706,9.871643185,90.6614786,NA,1948.08909004046,1503.86514671546,444.223943325,NA,NA,NA,NA,"8.63",NA,"1.28","8.22",NA,"20",NA,NA
"51","4",NA,37.4,-122.22,NA,NA,12.66,578.51,"temperate","Temperate Conifer Forests","N",NA,NA,NA,NA,NA,"grassland",NA,NA,NA,"bulk soil",NA,431.15,19.86,NA,NA,4519.1055602436,3625.4055602436,893.7,NA,NA,NA,NA,"9.28",NA,NA,NA,NA,NA,NA,NA
"52","4",NA,37.4,-122.22,NA,NA,12.66,578.51,"temperate","Temperate Conifer Forests","Warming",NA,"0","15",NA,NA,"grassland",NA,NA,"2007","bulk soil",NA,431.51,19.73,NA,NA,4518.16438084624,3630.31438084624,887.85,NA,NA,NA,NA,"9.25",NA,NA,NA,NA,NA,NA,NA
"53","4",NA,37.4,-122.22,NA,NA,12.66,578.51,"temperate","Temperate Conifer Forests","eCO2",NA,"0","15",NA,NA,"grassland",NA,NA,NA,"bulk soil",NA,433.54,19.38,NA,NA,4525.17735939179,3653.07735939179,872.1,NA,NA,NA,NA,"9.22",NA,NA,NA,NA,NA,NA,NA
"54","5",NA,41.49,123.34,"lat-lon of Shengyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","250-2000um",NA,NA,NA,NA,7168.70759,5801.79209,1366.9155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","5",NA,41.49,123.34,"lat-lon of Shengyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","<250um",NA,NA,NA,NA,7312.03565,5933.94665,1378.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5",NA,41.49,123.34,"lat-lon of Shenyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","250-2000um",NA,NA,NA,NA,NA,NA,32223.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","5",NA,41.49,123.34,"lat-lon of Shenyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","<250um",NA,NA,NA,NA,NA,NA,32957.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","5",NA,41.49,123.34,"lat-lon of Shenyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","250-2000um",NA,NA,NA,NA,NA,NA,37359.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5",NA,41.49,123.34,"lat-lon of Shenyang, China","75",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","<250um",NA,NA,NA,NA,NA,NA,39405.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Monoculture Corn",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1011.53,116.71,NA,NA,12857.5042112805,7605.5542112805,5251.95,NA,NA,NA,NA,NA,"23.50","2.3","3.9",NA,"7","13","80"
"61","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Corn following WW 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1069.88,123.2,NA,NA,13591.3915519643,8047.39155196434,5544,NA,NA,NA,NA,NA,"23.80","2.4",NA,NA,"37","35","28"
"62","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Corn following WW+RC 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1092.3,124.27,NA,NA,13827.5858746965,8235.43587469649,5592.15,NA,NA,NA,NA,NA,"24.50","2.4",NA,NA,"37","35","28"
"63","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Monoculture WW",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,941.86,111.19,NA,NA,12052.9349014847,7049.38490148469,5003.55,NA,NA,NA,NA,NA,"20.50","2",NA,NA,"37","35","28"
"64","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","WW following soybean 2-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,954.94,117.73,NA,NA,12381.0003880906,7083.15038809059,5297.85,NA,NA,NA,NA,NA,"22.00","2",NA,NA,"37","35","28"
"65","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","WW following soybean 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,886.96,97.83,NA,NA,11129.1383111093,6726.78831110934,4402.35,NA,NA,NA,NA,NA,"19.80","2.1",NA,NA,"37","35","28"
"66","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Monoculture soybean",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,984.78,117.39,NA,NA,12638.6249958206,7356.07499582056,5282.55,NA,NA,NA,NA,NA,"24.10","2.4",NA,NA,"37","35","28"
"67","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Soybean following WW 2-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1095.65,130.43,NA,NA,14055.8594522947,8186.50945229471,5869.35,NA,NA,NA,NA,NA,"23.80","2.4",NA,NA,"37","35","28"
"68","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Soybean following WW+RC 2-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,997.83,110.87,NA,NA,12546.3727675835,7557.22276758349,4989.15,NA,NA,NA,NA,NA,"23.20","2.3",NA,NA,"37","35","28"
"69","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Soybean following WW 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,991.3,110.87,NA,NA,12487.6027675835,7498.45276758349,4989.15,NA,NA,NA,NA,NA,"22.20","2.1",NA,NA,"37","35","28"
"70","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Soybean following WW+RC 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1167.89,131.96,NA,NA,14755.2287175099,8817.02871750985,5938.2,NA,NA,NA,NA,NA,"28.00","2.7",NA,NA,"37","35","28"
"71","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","Monoculture WW+RC",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,930.35,112.17,NA,NA,11980.8645615571,6933.21456155714,5047.65,NA,NA,NA,NA,NA,"22.10","2.2",NA,NA,"37","35","28"
"72","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","WW+RC following soybean 2-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1042.52,118.77,NA,NA,13202.6698232695,7858.01982326951,5344.65,NA,NA,NA,NA,NA,"22.70","2",NA,NA,"37","35","28"
"73","6",NA,42.22,-82.73,NA,NA,9.17,855.76,"snow","Temperate Broadleaf & Mixed Forests","WW+RC following soybean 3-y rotation",NA,"0","10",NA,NA,"cropland",NA,NA,NA,"bulk soil",NA,1155.87,70.86,NA,NA,12681.8944007483,9493.19440074832,3188.7,NA,NA,NA,NA,NA,"26.40","2.08",NA,NA,"37","35","28"
"74","7",NA,42.13,-82.44,NA,"188",9.21,841.26,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","10",NA,"Typic Argiustolls","cropland",NA,NA,NA,"bulk soil",NA,1069,135,621,NA,13962.9939895713,7887.99398957131,6075,NA,NA,NA,NA,NA,"24",NA,NA,NA,"37.00","35","28"
"75","8",NA,46.34,-71.13,"lat-lon of Saint-Lambertde-Lauzon, Canada","514",3.9,1187.32,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate",">2000um",NA,NA,NA,NA,2258.09545,1403.09545,855,NA,NA,NA,NA,NA,"18.50",NA,"6.2",NA,NA,"47","33"
"76","8",NA,46.34,-71.13,"lat-lon of Saint-Lambertde-Lauzon, Canada","514",3.9,1187.32,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","250-2000um",NA,NA,NA,NA,2560.25837,1660.25837,900,NA,NA,NA,NA,NA,"15.90",NA,"6.2",NA,NA,"47","33"
"77","8",NA,46.34,-71.13,"lat-lon of Saint-Lambertde-Lauzon, Canada","514",3.9,1187.32,"snow","Temperate Broadleaf & Mixed Forests",NA,NA,"0","20",NA,NA,"cropland",NA,NA,NA,"aggregate","<250um",NA,NA,NA,NA,2278.6067,1558.6067,720,NA,NA,NA,NA,NA,"14.90",NA,"6.2",NA,NA,"47","33"
