"SNDB_study_number","doi","title","author","journal","year"
197,"10.1016/j.still.2026.107199","Microbial carbon use efficiency and necromass turnover drive persistent carbon formation in paddy soils under straw-returned complex rotation","Yinhang Xia and Jun Chen and Donghai Jiang and Jiao Lin and Yan Xiao and Yongxue Yan and Tingsen Mou and Yeqin Shu and Nader Saad Elsayed and Yumei Chen and Georg Guggenberger and Zhenhua Zhang","Soil and Tillage Research","2026"
198,"10.1016/j.soilbio.2026.110202","Plant, mycorrhizal and saprotrophic fungal contributions to soil organic matter fractions differ between tree-mycorrhizal types","Veronica Vasilica and Claudia Guidi and Khatab Abdalla and Valentin B. Kurbel and Andreas J. Wild and Eva Lehndorff and Richard P. Phillips and Johanna Pausch","Soil Biology and Biochemistry","2026"
199,"10.1016/j.soilbio.2025.109917","Nitrogen fertilisation of boreal forest soil increases soil carbon pool through elevated microbial necromass formation but also modifies tree secondary metabolism","Bartosz Adamczyk and Sylwia Adamczyk and Boris Tupek and Qian Li and Tijana Martinovic and Etienne Richy and Aleksi Lehtonen and Petr Baldrian and Raisa Mäkipää","Soil Biology and Biochemistry","2025"
200,"10.1016/j.soilbio.2024.109649","Contributions of microbial necromass and plant lignin to soil organic carbon stock in a paddy field under simulated conditions of long-term elevated CO2 and warming","Yuan Liu and Weijie Li and Hongfan Meng and Qinyu Xu and Liqiang Sun and Long Zhang and Qingsong Ba and Xiaoyu Liu and Cheng Liu and Li Jiang","Soil Biology and Biochemistry","2025"
201,"10.1016/j.soilbio.2024.109449","Disentangling the effects of mineral fertiliser N, P and K on microbial biomass, necromass and ionome in soil from the Askov long-term field experiment","Sanja A. Schwalb and Michael Hemkemeyer and Bent T. Christensen and Stefanie Heinze and Rebeca Leme Oliva and Rainer Georg Joergensen and Florian Wichern","Soil Biology and Biochemistry","2024"
202,"10.1016/j.soilbio.2024.109438","Latitudinal patterns and drivers of plant lignin and microbial necromass accumulation in forest soils: Disentangling microbial and abiotic controls","Jinhong He and Yanxia Nie and Xiangping Tan and Ang Hu and Zhiqi Li and Seping Dai and Qing Ye and Gengxin Zhang and Weijun Shen","Soil Biology and Biochemistry","2024"
203,"10.1016/j.soilbio.2024.109399","Toward soil carbon storage: The influence of parent material and vegetation on profile-scale microbial community structure and necromass accumulation","Yu-Zhu Li and Xue-Lian Bao and Shi-Xin Tang and Ke-Qing Xiao and Cheng-Jun Ge and Hong-Tu Xie and Hong-Bo He and Carsten W. Mueller and Chao Liang","Soil Biology and Biochemistry","2024"
204,"10.1016/j.soilbio.2024.109323","Stabilized microbial necromass in soil is more strongly coupled with microbial diversity than the bioavailability of plant inputs","Gerrit Angst and Šárka Angst and Jan Frouz and Stanislav Jabinski and Veronika Jílková and Jaroslav Kukla and Mengmeng Li and Travis B. Meador and Roey Angel","Soil Biology and Biochemistry","2024"
205,"10.1016/j.scitotenv.2024.172786","Salinity decreases the contribution of microbial necromass to soil organic carbon pool in arid regions","Bin Jia and Han Mao and Yanmei Liang and Jie Chen and Li Jia and Meilan Zhang and Xiao Gang Li","Science of The Total Environment","2024"
206,"10.1016/j.scitotenv.2024.170986","Spatial variation and controls of soil microbial necromass carbon in a tropical montane rainforest","Zhangqi Ding and Zhijian Mou and Yanpeng Li and Chao Liang and Zicai Xie and Jun Wang and Dafeng Hui and Hans Lambers and Jordi Sardans and Josep Peñuelas and Han Xu and Zhanfeng Liu","Science of The Total Environment","2024"
207,"10.1016/j.jenvman.2025.125589","Changes in long-term land use alter deep soil microbial necromass and organic carbon stabilization","Yuxin Yan and Jia Shi and Zhongmin Fan and Yumei Peng and Xiang Wang","Journal of Environmental Management","2025"
208,"10.1016/j.geoderma.2025.117336","Ecosystem-level warming reduces microbial necromass in the topsoil but not in deeper soil of a subtropical forest","Xujun Liu and Peter B. Reich and Chao Liang and Meijuan Xiao and Gangsheng Wang and Guoyi Zhou and Kristiina Karhu and Zhiyang Lie and Ting Wu and Shuyidan Zhou and Zuzheng Li and Junhua Yan and Xuli Tang and Guowei Chu and Shizhong Liu and Ze Meng and PingPing Xu and Qianmei Zhang and Zhanfeng Liu and Juxiu Liu","Geoderma","2025"
209,"10.1016/j.ecolind.2022.109488","Alder expansion increases soil microbial necromass carbon in a permafrost peatland of Northeast China","Guang-Jiao Chen and Fu-Xi Shi and Qin Ying and Rong Mao","Ecological Indicators","2022"
210,"10.1016/j.catena.2026.110247","Stabilization mechanisms and contributions of mineral-associated microbial necromass to soil organic carbon in coastal wetlands","Jine Wei and Biao Zhu and Changwei Lü and Fenfen Zhang and Yanling Zheng and Xiaofei Li and Hongpo Dong and Xia Liang and Guoyu Yin and Min Liu and Lijun Hou","CATENA","2026"
211,"10.1016/j.catena.2025.109493","Waterlogging increases microbial necromass carbon and particulate organic carbon in alpine meadow soils","Xiaoming Mou and Yuqiang Li and Xuyang Wang and Han Mao and Bin Jia and Fencan Li and Jie Chen and Yun Chen and Yingwen Yu and Yakov Kuzyakov","CATENA","2025"
212,"10.1016/j.catena.2023.107761","Effect of land use conversion on the soil aggregate-associated microbial necromass carbon in estuarine wetland of the Pearl River in China","Chun Liu and Zhinan Wu and Chunhuan He and Bin Huang and Yuheng Zhang and Ping Li and Weijia Huang","CATENA","2024"
213,"10.1016/j.catena.2021.105707","Climatic and edaphic controls over the elevational pattern of microbial necromass in subtropical forests","Zhijian Mou and Luhui Kuang and Lingfeng He and Jing Zhang and Xinyu Zhang and Dafeng Hui and Yue Li and Wenjia Wu and Qiming Mei and Xianjin He and Yuanwen Kuang and Jun Wang and Yunqiang Wang and Hans Lambers and Jordi Sardans and Josep Peñuelas and Zhanfeng Liu","CATENA","2021"
214,"10.1016/j.apsoil.2026.107177","Fungal necromass carbon mediates soil organic carbon under film mulch regimes in a potato cropping system","Mei Zhang and Furong Du and Ke Li and Mingming Zhao and Xinyan Hu and Xiaoguang Chen","Applied Soil Ecology","2026"
215,"10.1016/j.apsoil.2025.106376","The importance of fungal necromass in soil organic carbon: Insights from elevation gradients in arid regions","Mengfei Cong and Zhihao Zhang and Guangxing Zhao and Xinping Dong and Yan Lu and Lei Li and Yang Hu and Weiqi Wang and Zhaobin Mu and Akash Tariq and Jordi Sardans and Josep Peñuelas and Fanjiang Zeng","Applied Soil Ecology","2025"
216,"10.1016/j.apsoil.2025.106097","Effects of microplastics on soil microbial necromass carbon and plant residual carbon","Ke Yang and Yan Ma and Hong Yu and Bowen Lv and Wenbing Tan","Applied Soil Ecology","2025"
217,"10.1016/j.apsoil.2024.105320","Forest management alters soil microbial necromass and its contribution to soil organic carbon in Moso bamboo plantations in subtropical China","Xiaoping Zhang and Zhiyuan Huang and Zheke Zhong and Qiaoling Li and Fangyuan Bian","Applied Soil Ecology","2024"
218,"10.1016/j.apsoil.2023.105190","Effects of tillage practices on soil organic carbon, microbial community and necromass in a double rice cropping system","Jian-Ying Qi and Xiang-Bin Yao and Xue-Chan Zhang and Mei-Yi Fan and Jian-Fu Xue and Jun-Li Cao and Ahmad Latif Virk and Sheng-Gang Pan and Xiang-Ru Tang","Applied Soil Ecology","2024"
219,"10.1016/j.apsoil.2023.105137","Organic fertilizers incorporation increased microbial necromass accumulation more than mineral fertilization in paddy soil via altering microbial traits","Zhe Li and Xiaomeng Wei and Zhenke Zhu and Yunying Fang and Hongzhao Yuan and Yuhong Li and Qihong Zhu and Xiaobin Guo and Jinshui Wu and Yakov Kuzyakov and Tida Ge","Applied Soil Ecology","2024"
220,"10.1007/s11104-026-08676-4","Divergent pathways of fungal and bacterial necromass stabilization across a developing aggregate hierarchy drive soil carbon sequestration after severe disturbance","Ye Yuan and Jiayu Zhao and Yuan Yuan and Qian Li and Shuang Wang and Mengyi Li","Plant and Soil","2026"
221,"10.1007/s11104-026-08377-y","Soil Erosion and Deposition Regulate Microbial Necromass Carbon Contributions to Soil Organic Carbon and Its Stability","Wentao Qiu and Lie Xiao and Zhanbin Li and Xuxu Min and Peng Li and Jianye Ma and Xiao Yang and Shu Yu and Tong Chou","Plant and Soil","2026"
222,"10.1007/s00374-024-01834-9","Aridity-driven divergence in soil microbial necromass carbon in alpine grasslands of the Tibetan Plateau","Yunfei Zhao and Xia Wang and Yazhen Li and Menghan Yuan and Jia Li and Huawei Zhu and Zhuoyun Cheng and Wenhui Duan and Junwu Wang","Biology and Fertility of Soils","2024"
223,"10.1007/s00374-022-01684-3","Linking soil aggregation to organic matter chemistry in a Calcic Cambisol: evidence from a 33-year field experiment","Xiaolei Huang and Zhixin Jia and Jinsong Wang and Xiaoyan Jiao and Xuefang Huang and Juanling Wang","Biology and Fertility of Soils","2022"
224,"10.1007/s00027-024-01098-3","Contribution and control of microbial necromass carbon in wetland soils","Shanshan Liao and Xiaodong Nie and Wenfei Liao and Yi Liu and Aoqi Zeng and Zhongwu Li","Aquatic Sciences","2024"
225,"10.1002/ldr.70586","Organic–Inorganic Fertilization Enhances Soil Carbon but Weakens Its Stability via Reduced Microbial Necromass in Reclaimed Mining Land","Zhengming Luo and Jianhua Li and Jinfeng Wang and Man Chen and Bianhua Zhang and Xinhua He and Minggang Xu and Puwang Li","Land Degradation &amp; Development","2026"
226,"10.1002/ldr.70495","Bio‐Organic Substitutions Reinforce Soil Quality Driven by Fungal Necromass and Soil Structure in a Light Saline Soil","Xiaoying Jin and Wanling Ji and Mingzhen Xing and Xiao Wang and Xiuyan Wang and Shuo Lv and Zhangliu Du","Land Degradation &amp; Development","2026"
227,"10.1002/ldr.70255","Agroforestry‐Based Soil Health: Impact of Tillage and Mulching on Soil Properties, Microbial Communities, and Microbial Necromass in Calcareous Soils","Sidra Fatima and Zhang Ying","Land Degradation &amp; Development","2025"
228,"10.1002/eap.70225","Necromass carbon but not microbes constrain soil carbon release in restoration of degraded alpine grassland","Qijing Sun and Xiang Wang and Yangxue Wen and Qiaoyu Luo and Wenjin Li and Huichun Xie and Jianxiao Zhu and Qiang Wang","Ecological Applications","2026"
