"SNDB_study_number","doi","title","author","journal","year"
187,"10.3390/agronomy16101010","Differential Response of Microbial Necromass Carbon in Rhizospheric and Non-Rhizospheric Soil to Mulching Measures and How It Drives C Sequestration Mechanism on Loess Plateau","Jiaqi Hao and Yufei Gao and Ni Chen and Xing Wang","Agronomy","2026"
188,"10.1111/nph.70768","Long‐term fate of photosynthetic carbon in desert plants: microbial necromass‐driven pathways for soil carbon stabilization","Mengfei Cong and Zhihao Zhang and Yang Hu and Akash Tariq and Corina Graciano and Jordi Sardans and Weiqi Wang and Yanju Gao and Xinping Dong and Guangxing Zhao and Jingming Yan and Josep Peñuelas and Fanjiang Zeng","New Phytologist","2025"
189,"10.1111/geb.13776","Microbial traits dictate soil necromass accumulation coefficient: A global synthesis","Bingbing Han and Yanzhong Yao and Yini Wang and Xiaoxuan Su and Lihua Ma and Xinping Chen and Zhaolei Li","Global Ecology and Biogeography","2023"
190,"10.1111/gcb.70906","Microbial Community Traits and Necromass Dynamics Shape Soil Carbon Accumulation","Wankun Pan and Sheng Tang and Wolfgang Wanek and Zhongkui Luo and Ji Chen and Yuanhe Yang and Tida Ge and Karina A. Marsden and Guopeng Liang and David R. Chadwick and Xinping Chen and Andrew S. Gregory and Lianghuan Wu and Yongchao Liang and Davey L. Jones and Qingxu Ma","Global Change Biology","2026"
191,"10.1111/gcb.70762","Fertilization and Aridity Legacies Determine Soil Microbial Necromass Persistence Across Climates","Li‐Xin Xu and Guang‐Hui Yu and Cong‐Qiang Liu and Georg Guggenberger","Global Change Biology","2026"
192,"10.1111/gcb.70292","Unfolding the Potential of Soil Microbial Community Diversity for Accumulation of Necromass Carbon at Large Scale","Yang Yang and Anna Gunina and Ji Chen and Baorong Wang and Huan Cheng and Yunqiang Wang and Chao Liang and Shaoshan An and Scott X. Chang","Global Change Biology","2025"
193,"10.1111/gcb.17379","Long‐term soil warming decreases soil microbial necromass carbon by adversely affecting its production and decomposition","Xiaofei Liu and Ye Tian and Jakob Heinzle and Erika Salas and Steve Kwatcho‐Kengdo and Werner Borken and Andreas Schindlbacher and Wolfgang Wanek","Global Change Biology","2024"
194,"10.1111/ejss.13555","Factors driving microbial biomass and necromass relationships display ecosystem‐dependent responses","Kaikai Min and Laurel Lynch and Tiantian Zheng and Fusheng Chen and Chao Liang","European Journal of Soil Science","2024"
195,"10.1111/1365-2745.14448","Rhizosphere as a hotspot for microbial necromass deposition into the soil carbon pool","Qitong Wang and Junxiang Ding and Ziliang Zhang and Chao Liang and Hans Lambers and Biao Zhu and Dungang Wang and Jipeng Wang and Peipei Zhang and Na Li and Huajun Yin","Journal of Ecology","2024"
196,"10.1111/1365-2664.70015","Microbial necromass carbon drives soil organic carbon accumulation during long‐term vegetation succession","Ziwen Zhao and Yanli Qin and Yang Wu and Wenjing Chen and Hao Wang and Jiawen Chen and Jinqiu Yang and Guobin Liu and Sha Xue","Journal of Applied Ecology","2025"
