ACTION,AS_units,AS_COMPLETION,ROW_COMPLETION,skip,checked_for_duplicates,row_number,Source,Source DOI,author,author_doi,data_location,sample,notes,notes1,notes2,treatment_OLD,treatment,treatment_NOTES,treatment_level,latitude,longitude,lat_lon_notes,location,elevation_m,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,aridity,plant_species,MAP(mm),MAT(°),Duration (year),year_sampled,fraction_scheme,aggregate_size_OLD,aggregate_size,amino_sugars,AS_units,gluN,gluN_units,murA,murA_units,galN,galN_units,manN,manN_units,microbial_necromass_C,MNC_units,fungal_necromass_C,FNC_units,bacterial_necromass_C,BNC_units,bacterial_biomass_C,bbc_units,fungal_biomass_C,fbc_units,microbial_biomass_C,MBC-units,microbial_biomass_N,MBN-units,soc,SOC_units,soil_C,TC_units,soil_N,TN_units,soil C/N,pH,pH_method,clay,silt,sand,texture,bulk_density,Method,other_variables_available
checked?,,,,,,2,,,,,,,,,,check,,,check,,,,,,,,,,checked,checked,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET UNITS,,GET UNITS,,GET UNITS,CHECK UNITS,,CHECK UNITS,,,,,,,,,,,
,,,,,Y,2,,,,,,,,,,,,,,,,,,m,cm,cm,,,,,,,,,,,bulk vs. aggregate,,,,,ug/g = mg/kg,,,,,,,,mg/kg,,mg/kg,,mg/kg,,,ug/g,,ug/g,mg/kg soil,,mg/kg soil,,,,mg/g = g/kg,,mg/g = g/kg,,,,,,,,,gcm3,,
,,,,,,3,STUDY,,,,,,,,,EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,AMINO SUGARS,,,,,,,,,,NECROMASS,,,,,,BIOMASS,,,,,,,,SOIL,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,200,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,80,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,220,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,260,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,340,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,230,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,290,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,200,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,320,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,170,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,190,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,120,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,490,mg/kg,30,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,260,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,380,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,140,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,310,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,170,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,330,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,130,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,410,mg/kg,30,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,240,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,240,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,140,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,150,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,70,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,310,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,140,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,240,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,240,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,230,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,130,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM+N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,100,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,190,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,80,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,170,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,120,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,240,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,180,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,90,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,250,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,80,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,170,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,110,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,340,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,AM-N,39°09′N,86°31′W,N/A,N/A,,15,30,N/A,Dystric Leptic Cambisols,forest,N/A,,"Acer saccharum, Liriodendron tulipifera, Sassafras albidum",,,,2022,MAOM,N/A,N/A,N/A,N/A,150,mg/kg,10,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vasilica et al. 2026,https://doi.org/10.1016/j.soilbio.2026.110202,SI,,,,,tree species; fertilization,vegetation; amendment,N/A,ECM-N,39°09′N,86°31′W,N/A,N/A,,0,15,N/A,Dystric Leptic Cambisols,forest,N/A,,"Quercus alba, Fagus grandifolia, Quercus rubra, Carya glabra, Quercus velutina",,,,2022,MAOM,N/A,N/A,N/A,N/A,250,mg/kg,20,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
