ACTION,AS_units,AS_COMPLETION,ROW_COMPLETION,skip,checked_for_duplicates,row_number,Source,Source DOI,author,author_doi,data_location,sample,notes,notes1,notes2,treatment_OLD,treatment,treatment_NOTES,treatment_level,latitude,longitude,lat_lon_notes,location,elevation_m,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,aridity,plant_species,MAP(mm),MAT(°),Duration (year),year_sampled,fraction_scheme,aggregate_size_OLD,aggregate_size,amino_sugars,AS_units,gluN,gluN_units,murA,murA_units,galN,galN_units,manN,manN_units,microbial_necromass_C,MNC_units,fungal_necromass_C,FNC_units,bacterial_necromass_C,BNC_units,bacterial_biomass_C,bbc_units,fungal_biomass_C,fbc_units,microbial_biomass_C,MBC-units,microbial_biomass_N,MBN-units,soc,SOC_units,soil_C,TC_units,soil_N,TN_units,soil C/N,pH,pH_method,clay,silt,sand,texture,bulk_density,Method,other_variables_available
checked?,,,,,,2,,,,,,,,,,check,,,check,,,,,,,,,,checked,checked,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET UNITS,,GET UNITS,,GET UNITS,CHECK UNITS,,CHECK UNITS,,,,,,,,,,,
,,,,,Y,2,,,,,,,,,,,,,,,,,,m,cm,cm,,,,,,,,,,,bulk vs. aggregate,,,,,ug/g = mg/kg,,,,,,,,mg/kg,,mg/kg,,mg/kg,,,ug/g,,ug/g,mg/kg soil,,mg/kg soil,,,,mg/g = g/kg,,mg/g = g/kg,,,,,,,,,gcm3,,
,,,,,,3,STUDY,,,,,,,,,EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,AMINO SUGARS,,,,,,,,,,NECROMASS,,,,,,BIOMASS,,,,,,,,SOIL,,,,,,,,,,,,,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4800,mg/kg,3190,mg/kg,120,mg/kg,1440,mg/kg,60,mg/kg,32470,mg/kg,27150,mg/kg,5330,mg/kg,N/A,N/A,N/A,N/A,1870,mg/kg,240,mg/kg,65.59,mg/g,N/A,N/A,5.03,mg/g,N/A,6.32,N/A,3.372,50.834,45.794,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,3870,mg/kg,2380,mg/kg,70,mg/kg,1360,mg/kg,50,mg/kg,23840,mg/kg,20490,mg/kg,3350,mg/kg,N/A,N/A,N/A,N/A,1330,mg/kg,200,mg/kg,58.73,mg/g,N/A,N/A,4.62,mg/g,N/A,6.44,N/A,3.322,54.756,41.922,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4000,mg/kg,2510,mg/kg,80,mg/kg,1360,mg/kg,50,mg/kg,25220,mg/kg,21590,mg/kg,3630,mg/kg,N/A,N/A,N/A,N/A,1350,mg/kg,160,mg/kg,55.25,mg/g,N/A,N/A,4.27,mg/g,N/A,6.24,N/A,4.63,57.428,37.942,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4070,mg/kg,2560,mg/kg,90,mg/kg,1360,mg/kg,60,mg/kg,26020,mg/kg,21830,mg/kg,4190,mg/kg,N/A,N/A,N/A,N/A,1910,mg/kg,210,mg/kg,76.64,mg/g,N/A,N/A,5.83,mg/g,N/A,6.22,N/A,4.71,69.16,26.13,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4230,mg/kg,2630,mg/kg,100,mg/kg,1450,mg/kg,60,mg/kg,26720,mg/kg,22410,mg/kg,4310,mg/kg,N/A,N/A,N/A,N/A,2450,mg/kg,330,mg/kg,76.79,mg/g,N/A,N/A,5.53,mg/g,N/A,6.02,N/A,4.86,67.944,27.196,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2570,mg/kg,1570,mg/kg,60,mg/kg,900,mg/kg,40,mg/kg,16020,mg/kg,13330,mg/kg,2680,mg/kg,N/A,N/A,N/A,N/A,780,mg/kg,110,mg/kg,34.28,mg/g,N/A,N/A,2.98,mg/g,N/A,6.61,N/A,3.32,51.3,45.38,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,3720,mg/kg,2140,mg/kg,90,mg/kg,1440,mg/kg,50,mg/kg,22130,mg/kg,18060,mg/kg,4070,mg/kg,N/A,N/A,N/A,N/A,910,mg/kg,130,mg/kg,37.05,mg/g,N/A,N/A,3,mg/g,N/A,6.77,N/A,3.75,56.61,39.64,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,1850,mg/kg,1060,mg/kg,30,mg/kg,720,mg/kg,30,mg/kg,10500,mg/kg,9170,mg/kg,1340,mg/kg,N/A,N/A,N/A,N/A,310,mg/kg,50,mg/kg,32.59,mg/g,N/A,N/A,2.47,mg/g,N/A,6.91,N/A,2.77,48.41,48.82,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2020,mg/kg,1250,mg/kg,40,mg/kg,690,mg/kg,40,mg/kg,12720,mg/kg,10700,mg/kg,2020,mg/kg,N/A,N/A,N/A,N/A,750,mg/kg,100,mg/kg,26.64,mg/g,N/A,N/A,2.43,mg/g,N/A,6.58,N/A,2.55,44.34,53.11,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2080,mg/kg,1290,mg/kg,50,mg/kg,710,mg/kg,30,mg/kg,13230,mg/kg,10960,mg/kg,2260,mg/kg,N/A,N/A,N/A,N/A,1150,mg/kg,200,mg/kg,29.13,mg/g,N/A,N/A,2.54,mg/g,N/A,6.51,N/A,3.13,51.46,45.42,N/A,,,
